i,date,open,high,low,close,volume
194,2020-03-11,7935559.577768863,7967153.477768828,4410544.44443949,4800592.5925872,26153789329574.98
195,2020-03-12,4800602.593821768,5955735.185178495,3782596.929625381,5579288.716043116,40225132829117.336
196,2020-03-13,5576738.401228304,5641216.360487491,5055754.090117778,5172698.525920115,13692703845976.89
197,2020-03-14,5173118.577771966,5940733.33332666,5093728.777772056,5361961.888882866,13993342013218.035
198,2020-03-15,5360991.76912978,5366082.3975248365,4442668.409871552,5029590.860488177,22730498163909.773
199,2020-03-16,5029480.84690793,5525682.098759225,4922057.586414224,5313295.881475513,15010845593836.45
200,2020-03-17,5313295.881475513,5436841.132092658,5009988.440735113,5393705.807401349,13714456423148.717
201,2020-03-18,5393925.8345618425,6400790.1234496,5253178.460487925,6163130.7864128295,19904544391697.875
202,2020-03-19,6162810.746906658,6900851.8518441,5670699.99999363,6209126.464190556,21932540338159.49
203,2020-03-20,6205335.996289325,6457777.158017437,5860743.459252676,6187743.824684407,12892958363055.432
204,2020-03-21,6187803.832091815,6408661.09505453,5734717.902462694,5816908.048141614,11913069620470.902
205,2020-03-22,5816768.030857664,6600814.8148074,5688702.222215832,6468108.433326068,16469454593491.191
206,2020-03-23,6466048.179005082,6833843.580239237,6372116.583943459,6745552.681473904,15115666889139.541
207,2020-03-24,6745522.6777702,6958819.007399591,6450796.29628905,6678254.374066573,13217205051168.967
208,2020-03-25,6678244.372832004,6780837.03702942,6510803.70369639,6738191.772831936,8303680540290.809
209,2020-03-26,6738101.761720827,6843434.764189844,6261772.962955929,6359895.075301497,8292520476975.302
210,2020-03-27,6359895.075301497,6360785.18517804,6024743.703696936,6237419.956783117,9317119462561.498
211,2020-03-28,6237419.956783117,6266773.580239874,5867284.266660077,5882146.101227961,6331944396426.394
212,2020-03-29,5881225.987647714,6599814.691350611,5858483.180240333,6395169.429622446,11890422771408.768
213,2020-03-30,6395239.438264421,6524035.337029708,6322180.4197459845,6411231.412338477,7234652582623.466
214,2020-03-31,6412931.622215019,6680764.683943112,6150869.272832597,6643740.113572784,9751278952981.639
215,2020-04-01,6644180.167893771,7198888.641967222,6551808.765424739,6794928.776535577,14931833895810.031
216,2020-04-02,6794698.748140515,7048870.123448872,6602915.074066658,6734931.370362805,10409312635578.912
217,2020-04-03,6733801.230856634,6991273.013572393,6650830.9888814185,6857836.541967605,7299987235634.257
218,2020-04-04,6858256.593819456,6896391.301226821,6678344.385177684,6773616.145671403,4969149097763.344
219,2020-04-05,6773616.145671403,7356048.0419670455,6765835.185177585,7330804.925917691,11806657515295.775
220,2020-04-06,7330804.925917691,7460610.949374335,7077873.703695753,7198208.558016605,10359795721034.264
221,2020-04-07,7198208.558016605,7420916.04937438,7150882.71604135,7362188.79999173,7606853585591.924
222,2020-04-08,7361168.674065805,7372830.113571965,7108957.540732755,7284439.202460953,6110241499377.297
223,2020-04-09,7284439.202460953,7296650.709868346,6740812.096288724,6859766.780239208,10468754616789.166
224,2020-04-10,6859766.780239208,6945157.320979853,6760834.56789364,6877678.991350299,4547590682239.41
225,2020-04-11,6877688.9925848665,7177886.049374653,6780837.03702942,6904642.31974533,7387778608937.393
226,2020-04-12,6904642.31974533,6904642.31974533,6575811.728387675,6838754.186412071,9642737971814.762
227,2020-04-13,6838884.202461453,6978861.4814736415,6755113.861720807,6869547.987646604,6907715027545.142
228,2020-04-14,6869417.971597222,6933855.925918137,6605815.432091345,6622057.437029598,6157898639948.564
229,2020-04-15,6622067.438264166,7190887.65431291,6469068.551844586,7102816.78270807,12502529085460.512
230,2020-04-16,7102866.78888091,7149002.483942587,6973840.861720561,7028417.598757537,5413319204809.512
231,2020-04-17,7027647.503695809,7293980.38023872,7015265.975300761,7249494.8888807455,4949465251558.873
232,2020-04-18,7249494.8888807455,7267047.055547392,7056471.061720469,7121619.103695704,4567050156747.092
233,2020-04-19,7122279.185177184,7220891.35801658,6751833.456782539,6827672.818510849,9016062093673.453
234,2020-04-20,6829823.083942945,6940856.79011566,6762834.814807218,6842214.613572561,6011713175988.408
235,2020-04-21,6842204.6123379925,7157263.503695664,6818841.728387402,7126019.646905576,6149396824471.29
236,2020-04-22,7125999.6444364395,7738955.308633282,7020866.66665878,7483313.751843446,10278625765589.207
237,2020-04-23,7484883.945670605,7616900.241966752,7388912.098757132,7505926.543201445,6018954983028.288
238,2020-04-24,7505926.543201445,7705951.2345592445,7431987.416041034,7539600.699991531,4387984432196.627
239,2020-04-25,7539960.744435974,7700950.6172752995,7480923.45678172,7694049.765423456,5052885356896.904
240,2020-04-26,7694049.765423456,7792981.977769024,7606939.012337134,7775579.829620895,6544941875365.191
241,2020-04-27,7774469.69258386,7780960.49381842,7660065.570361765,7739935.429620935,4630846902716.255
242,2020-04-28,7739535.380238219,8953995.29505167,7711001.85801603,8779653.774064211,18356954762336.344
243,2020-04-29,8779663.77529878,9461167.90122394,8402037.160484388,8621064.19752118,20630268044649.96
244,2020-04-30,8621064.19752118,9060298.417273773,8614623.402459458,8828049.74813823,9148010750520.082
245,2020-05-01,8826759.588878974,9011112.34566889,8754080.617274117,8973157.660483746,5900937175827.322
246,2020-05-02,8973687.725915845,9201135.8024588,8713075.555545768,8895258.044434452,9013719231766.95
247,2020-05-03,8895248.043199884,8951104.93826155,8523052.098755857,8873055.303693736,8442893436946.455
248,2020-05-04,8873015.298755465,9119705.75060704,8761081.48147164,9022943.806162704,7649020741170.938
249,2020-05-05,9022473.748138014,9396159.876532655,8907309.532088758,9144048.755545285,10593837961771.064
