index,symbol,date,open,high,low,close,volume
13162,SPX,1960-08-03,54.72,54.72,54.72,54.72,2470000
13163,SPX,1960-08-02,55.04,55.04,55.04,55.04,2090000
13164,SPX,1960-08-01,55.53,55.53,55.53,55.53,2440000
13165,SPX,1960-07-29,55.51,55.51,55.51,55.51,2730000
13166,SPX,1960-07-28,54.57,54.57,54.57,54.57,3020000
13167,SPX,1960-07-27,54.17,54.17,54.17,54.17,2560000
13168,SPX,1960-07-26,54.51,54.51,54.51,54.51,2720000
13169,SPX,1960-07-25,54.18,54.18,54.18,54.18,2840000
13170,SPX,1960-07-22,54.72,54.72,54.72,54.72,2850000
13171,SPX,1960-07-21,55.1,55.1,55.1,55.1,2510000
13172,SPX,1960-07-20,55.61,55.61,55.61,55.61,2370000
13173,SPX,1960-07-19,55.7,55.7,55.7,55.7,2490000
13174,SPX,1960-07-18,55.7,55.7,55.7,55.7,2350000
13175,SPX,1960-07-15,56.05,56.05,56.05,56.05,2140000
13176,SPX,1960-07-14,56.12,56.12,56.12,56.12,2480000
13177,SPX,1960-07-13,56.1,56.1,56.1,56.1,2590000
13178,SPX,1960-07-12,56.25,56.25,56.25,56.25,2860000
13179,SPX,1960-07-11,56.87,56.87,56.87,56.87,2920000
13180,SPX,1960-07-08,57.38,57.38,57.38,57.38,3010000
13181,SPX,1960-07-07,57.24,57.24,57.24,57.24,3050000
13182,SPX,1960-07-06,56.94,56.94,56.94,56.94,2970000
13183,SPX,1960-07-05,57.02,57.02,57.02,57.02,2780000
13184,SPX,1960-07-01,57.06,57.06,57.06,57.06,2620000
13185,SPX,1960-06-30,56.92,56.92,56.92,56.92,2940000
13186,SPX,1960-06-29,56.94,56.94,56.94,56.94,3160000
13187,SPX,1960-06-28,56.94,56.94,56.94,56.94,3120000
13188,SPX,1960-06-27,57.33,57.33,57.33,57.33,2960000
13189,SPX,1960-06-24,57.68,57.68,57.68,57.68,3220000
13190,SPX,1960-06-23,57.59,57.59,57.59,57.59,3620000
13191,SPX,1960-06-22,57.28,57.28,57.28,57.28,3600000
13192,SPX,1960-06-21,57.11,57.11,57.11,57.11,3860000
13193,SPX,1960-06-20,57.16,57.16,57.16,57.16,3970000
13194,SPX,1960-06-17,57.44,57.44,57.44,57.44,3920000
13195,SPX,1960-06-16,57.5,57.5,57.5,57.5,3540000
13196,SPX,1960-06-15,57.57,57.57,57.57,57.57,3630000
13197,SPX,1960-06-14,57.91,57.91,57.91,57.91,3430000
13198,SPX,1960-06-13,57.99,57.99,57.99,57.99,3180000
13199,SPX,1960-06-10,57.97,57.97,57.97,57.97,2940000
13200,SPX,1960-06-09,58.0,58.0,58.0,58.0,3820000
13201,SPX,1960-06-08,57.89,57.89,57.89,57.89,3800000
13202,SPX,1960-06-07,57.43,57.43,57.43,57.43,3710000
13203,SPX,1960-06-06,56.89,56.89,56.89,56.89,3220000
13204,SPX,1960-06-03,56.23,56.23,56.23,56.23,3340000
13205,SPX,1960-06-02,56.13,56.13,56.13,56.13,3730000
13206,SPX,1960-06-01,55.89,55.89,55.89,55.89,3770000
13207,SPX,1960-05-31,55.83,55.83,55.83,55.83,3750000
13208,SPX,1960-05-27,55.74,55.74,55.74,55.74,3040000
13209,SPX,1960-05-26,55.71,55.71,55.71,55.71,3720000
13210,SPX,1960-05-25,55.67,55.67,55.67,55.67,3440000
13211,SPX,1960-05-24,55.7,55.7,55.7,55.7,3240000
13212,SPX,1960-05-23,55.76,55.76,55.76,55.76,2530000
13213,SPX,1960-05-20,55.73,55.73,55.73,55.73,3170000
13214,SPX,1960-05-19,55.68,55.68,55.68,55.68,3700000
13215,SPX,1960-05-18,55.44,55.44,55.44,55.44,5240000
13216,SPX,1960-05-17,55.46,55.46,55.46,55.46,4080000
13217,SPX,1960-05-16,55.25,55.25,55.25,55.25,3530000
13218,SPX,1960-05-13,55.3,55.3,55.3,55.3,3750000
13219,SPX,1960-05-12,54.85,54.85,54.85,54.85,3220000
13220,SPX,1960-05-11,54.57,54.57,54.57,54.57,2900000
13221,SPX,1960-05-10,54.42,54.42,54.42,54.42,2870000
13222,SPX,1960-05-09,54.8,54.8,54.8,54.8,2670000
13223,SPX,1960-05-06,54.75,54.75,54.75,54.75,2560000
13224,SPX,1960-05-05,54.86,54.86,54.86,54.86,2670000
13225,SPX,1960-05-04,55.04,55.04,55.04,55.04,2870000
13226,SPX,1960-05-03,54.83,54.83,54.83,54.83,2910000
13227,SPX,1960-05-02,54.13,54.13,54.13,54.13,2930000
13228,SPX,1960-04-29,54.37,54.37,54.37,54.37,2850000
13229,SPX,1960-04-28,54.56,54.56,54.56,54.56,3190000
13230,SPX,1960-04-27,55.04,55.04,55.04,55.04,3020000
13231,SPX,1960-04-26,55.04,55.04,55.04,55.04,2940000
13232,SPX,1960-04-25,54.86,54.86,54.86,54.86,2980000
13233,SPX,1960-04-22,55.42,55.42,55.42,55.42,2850000
13234,SPX,1960-04-21,55.59,55.59,55.59,55.59,2700000
13235,SPX,1960-04-20,55.44,55.44,55.44,55.44,3150000
13236,SPX,1960-04-19,56.13,56.13,56.13,56.13,3080000
13237,SPX,1960-04-18,56.59,56.59,56.59,56.59,3200000
13238,SPX,1960-04-14,56.43,56.43,56.43,56.43,2730000
13239,SPX,1960-04-13,56.3,56.3,56.3,56.3,2730000
13240,SPX,1960-04-12,56.3,56.3,56.3,56.3,2470000
13241,SPX,1960-04-11,56.17,56.17,56.17,56.17,2520000
13242,SPX,1960-04-08,56.39,56.39,56.39,56.39,2820000
13243,SPX,1960-04-07,56.52,56.52,56.52,56.52,3070000
13244,SPX,1960-04-06,56.51,56.51,56.51,56.51,3450000
13245,SPX,1960-04-05,55.37,55.37,55.37,55.37,2840000
13246,SPX,1960-04-04,55.54,55.54,55.54,55.54,2450000
13247,SPX,1960-04-01,55.43,55.43,55.43,55.43,2260000
13248,SPX,1960-03-31,55.34,55.34,55.34,55.34,2690000
13249,SPX,1960-03-30,55.66,55.66,55.66,55.66,2450000
13250,SPX,1960-03-29,55.78,55.78,55.78,55.78,2320000
13251,SPX,1960-03-28,55.86,55.86,55.86,55.86,2500000
13252,SPX,1960-03-25,55.98,55.98,55.98,55.98,2640000
13253,SPX,1960-03-24,55.98,55.98,55.98,55.98,2940000
13254,SPX,1960-03-23,55.74,55.74,55.74,55.74,3020000
13255,SPX,1960-03-22,55.29,55.29,55.29,55.29,2490000
13256,SPX,1960-03-21,55.07,55.07,55.07,55.07,2500000
13257,SPX,1960-03-18,55.01,55.01,55.01,55.01,2620000
13258,SPX,1960-03-17,54.96,54.96,54.96,54.96,2140000
13259,SPX,1960-03-16,55.04,55.04,55.04,55.04,2960000
13260,SPX,1960-03-15,54.74,54.74,54.74,54.74,2690000
13261,SPX,1960-03-14,54.32,54.32,54.32,54.32,2530000
13262,SPX,1960-03-11,54.24,54.24,54.24,54.24,2770000
13263,SPX,1960-03-10,53.83,53.83,53.83,53.83,3350000
13264,SPX,1960-03-09,54.04,54.04,54.04,54.04,3580000
13265,SPX,1960-03-08,53.47,53.47,53.47,53.47,3370000
13266,SPX,1960-03-07,54.02,54.02,54.02,54.02,2900000
13267,SPX,1960-03-04,54.57,54.57,54.57,54.57,4060000
13268,SPX,1960-03-03,54.78,54.78,54.78,54.78,3160000
13269,SPX,1960-03-02,55.62,55.62,55.62,55.62,3110000
13270,SPX,1960-03-01,56.01,56.01,56.01,56.01,2920000
13271,SPX,1960-02-29,56.12,56.12,56.12,56.12,2990000
13272,SPX,1960-02-26,56.16,56.16,56.16,56.16,3380000
13273,SPX,1960-02-25,55.93,55.93,55.93,55.93,3600000
13274,SPX,1960-02-24,55.74,55.74,55.74,55.74,2740000
13275,SPX,1960-02-23,55.94,55.94,55.94,55.94,2960000
13276,SPX,1960-02-19,56.24,56.24,56.24,56.24,3230000
13277,SPX,1960-02-18,55.8,55.8,55.8,55.8,3800000
13278,SPX,1960-02-17,55.03,55.03,55.03,55.03,4210000
13279,SPX,1960-02-16,54.73,54.73,54.73,54.73,3270000
13280,SPX,1960-02-15,55.17,55.17,55.17,55.17,2780000
13281,SPX,1960-02-12,55.46,55.46,55.46,55.46,2230000
13282,SPX,1960-02-11,55.18,55.18,55.18,55.18,2610000
13283,SPX,1960-02-10,55.49,55.49,55.49,55.49,2440000
13284,SPX,1960-02-09,55.84,55.84,55.84,55.84,2860000
13285,SPX,1960-02-08,55.32,55.32,55.32,55.32,3350000
13286,SPX,1960-02-05,55.98,55.98,55.98,55.98,2530000
13287,SPX,1960-02-04,56.27,56.27,56.27,56.27,2600000
13288,SPX,1960-02-03,56.32,56.32,56.32,56.32,3020000
13289,SPX,1960-02-02,56.82,56.82,56.82,56.82,3080000
13290,SPX,1960-02-01,55.96,55.96,55.96,55.96,2820000
13291,SPX,1960-01-29,55.61,55.61,55.61,55.61,3060000
13292,SPX,1960-01-28,56.13,56.13,56.13,56.13,2630000
13293,SPX,1960-01-27,56.72,56.72,56.72,56.72,2460000
13294,SPX,1960-01-26,56.86,56.86,56.86,56.86,3060000
13295,SPX,1960-01-25,56.78,56.78,56.78,56.78,2790000
13296,SPX,1960-01-22,57.38,57.38,57.38,57.38,2690000
13297,SPX,1960-01-21,57.21,57.21,57.21,57.21,2700000
13298,SPX,1960-01-20,57.07,57.07,57.07,57.07,2720000
13299,SPX,1960-01-19,57.27,57.27,57.27,57.27,3100000
13300,SPX,1960-01-18,57.89,57.89,57.89,57.89,3020000
13301,SPX,1960-01-15,58.38,58.38,58.38,58.38,3400000
13302,SPX,1960-01-14,58.4,58.4,58.4,58.4,3560000
13303,SPX,1960-01-13,58.08,58.08,58.08,58.08,3470000
13304,SPX,1960-01-12,58.41,58.41,58.41,58.41,3760000
13305,SPX,1960-01-11,58.77,58.77,58.77,58.77,3470000
13306,SPX,1960-01-08,59.5,59.5,59.5,59.5,3290000
13307,SPX,1960-01-07,59.69,59.69,59.69,59.69,3310000
13308,SPX,1960-01-06,60.13,60.13,60.13,60.13,3730000
13309,SPX,1960-01-05,60.39,60.39,60.39,60.39,3710000
13310,SPX,1960-01-04,59.91,59.91,59.91,59.91,3990000
13311,SPX,1959-12-31,59.89,59.89,59.89,59.89,3810000
13312,SPX,1959-12-30,59.77,59.77,59.77,59.77,3680000
13313,SPX,1959-12-29,59.3,59.3,59.3,59.3,3020000
13314,SPX,1959-12-28,58.98,58.98,58.98,58.98,2830000
13315,SPX,1959-12-24,59.0,59.0,59.0,59.0,2320000
13316,SPX,1959-12-23,58.96,58.96,58.96,58.96,2890000
13317,SPX,1959-12-22,59.14,59.14,59.14,59.14,2930000
13318,SPX,1959-12-21,59.21,59.21,59.21,59.21,3290000
13319,SPX,1959-12-18,59.14,59.14,59.14,59.14,3230000
13320,SPX,1959-12-17,58.86,58.86,58.86,58.86,3040000
13321,SPX,1959-12-16,58.97,58.97,58.97,58.97,3270000
13322,SPX,1959-12-15,58.9,58.9,58.9,58.9,3450000
13323,SPX,1959-12-14,59.04,59.04,59.04,59.04,3100000
13324,SPX,1959-12-11,58.88,58.88,58.88,58.88,2910000
13325,SPX,1959-12-10,59.02,59.02,59.02,59.02,3170000
13326,SPX,1959-12-09,58.97,58.97,58.97,58.97,3430000
13327,SPX,1959-12-08,59.34,59.34,59.34,59.34,3870000
13328,SPX,1959-12-07,58.96,58.96,58.96,58.96,3620000
13329,SPX,1959-12-04,58.85,58.85,58.85,58.85,3590000
13330,SPX,1959-12-03,58.73,58.73,58.73,58.73,3280000
13331,SPX,1959-12-02,58.6,58.6,58.6,58.6,3490000
13332,SPX,1959-12-01,58.7,58.7,58.7,58.7,3990000
13333,SPX,1959-11-30,58.28,58.28,58.28,58.28,3670000
13334,SPX,1959-11-27,57.7,57.7,57.7,57.7,3030000
13335,SPX,1959-11-25,57.44,57.44,57.44,57.44,3550000
13336,SPX,1959-11-24,57.35,57.35,57.35,57.35,3650000
13337,SPX,1959-11-23,57.08,57.08,57.08,57.08,3400000
